Start time: 1725635416.2383099

Blueprint 1:
         104618 function calls (104506 primitive calls) in 0.065 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       93    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
     12/2    0.000    0.000    0.017    0.009 <frozen importlib._bootstrap_external>:844(exec_module)
       19    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
  368/366    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       86    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
      107    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
        1    0.000    0.000    0.000    0.000 sre_parse.py:493(_parse)
       72    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      126    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 pickle.py:197(<listcomp>)
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
       18    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
        9    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.012    0.012 reduction.py:10(<module>)
      274    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(_get_spec)
      111    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.000    0.000 pickle.py:1136(_Unpickler)
       12    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
        1    0.000    0.000    0.016    0.016 context.py:1(<module>)
     30/4    0.000    0.000    0.018    0.004 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
        1    0.000    0.000    0.000    0.000 day-19.py:92(<dictcomp>)
        1    0.000    0.000    0.000    0.000 day-19.py:204(build_blueprint_dictionaries)
        7    0.000    0.000    0.000    0.000 enum.py:618(_find_new_)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
        1    0.000    0.000    0.000    0.000 _bootlocale.py:33(getpreferredencoding)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
       21    0.000    0.000    0.000    0.000 enum.py:571(_get_mixins_)
        1    0.000    0.000    0.017    0.017 __init__.py:15(<module>)
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:385(cached)
       44    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        6    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap_external>:1171(create_module)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
        7    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
     13/1    0.000    0.000    0.065    0.065 {built-in method builtins.exec}
      109    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:156(__enter__)
      109    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        3    0.000    0.000    0.000    0.000 sre_compile.py:276(_optimize_charset)
       57    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
      121    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 os.py:48(<listcomp>)
        7    0.000    0.000    0.000    0.000 enum.py:164(__prepare__)
       19    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
      125    0.000    0.000    0.000    0.000 day-19.py:92(<genexpr>)
        7    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
      6/2    0.000    0.000    0.017    0.008 <frozen importlib._bootstrap>:1033(_handle_fromlist)
       24    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
        9    0.000    0.000    0.002    0.000 enum.py:358(__call__)
       48    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
       57    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
       32    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      6/1    0.000    0.000    0.017    0.017 {built-in method builtins.__import__}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
       72    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       64    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       72    0.000    0.000    0.000    0.000 enum.py:551(<lambda>)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1585(<setcomp>)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:160(__exit__)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        1    0.000    0.000    0.001    0.001 struct.py:1(<module>)
       16    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 context.py:30(BaseContext)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:37(__init__)
        9    0.000    0.000    0.000    0.000 abc.py:105(__new__)
       38    0.000    0.000    0.000    0.000 __init__.py:23(<genexpr>)
